Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,-15.82493000,35.54072000
0.09998400,43.50701000,35.54072000
0.19996800,35.60224000,-7.88939400
0.29995199,-59.33194000,90.82800000
0.39993599,-55.37955000,-11.84178000
0.49991999,-59.33194000,-23.68356000
0.59990399,-63.29971000,27.63595000
0.69988798,7.90477300,47.38250000
0.79987198,35.60224000,23.68356000
0.89985598,-67.25209000,7.88939400
0.99983998,-134.51950000,11.84178000
1.09982397,-59.33194000,78.98621000
1.19980797,-27.68209000,11.84178000
1.29979197,-83.07702000,-3.93700800
1.39977597,-43.50701000,55.28728000
1.49975996,-51.42716000,-27.63595000
1.59974396,7.90477300,-43.44550000
1.69972796,-43.50701000,51.33489000
1.79971196,-15.82493000,7.88939400
1.89969596,-55.37955000,-11.84178000
1.99967995,19.77731000,-102.68520000
2.09966395,59.33194000,-51.33489000
2.19964795,-71.20448000,27.63595000
2.29963195,63.29971000,-23.68356000
2.39961594,19.77731000,-27.63595000
2.49959994,94.94955000,-3.93700800
2.59958394,71.20448000,-63.19205000
2.69956794,0.00000000,43.44550000
2.79955193,7.90477300,-19.74655000
2.89953593,67.25209000,31.58834000
2.99951993,51.42716000,15.79417000
3.09950393,83.07702000,-51.33489000
3.19948792,55.37955000,-43.44550000
3.29947192,67.25209000,-23.68356000
3.39945592,83.07702000,-31.58834000
3.49943992,79.12463000,39.49311000
3.59942392,79.12463000,11.84178000
3.69940791,106.82210000,31.58834000
3.79939191,19.77731000,-7.88939400
3.89937591,-39.55462000,67.12906000
3.99935991,11.85716000,67.12906000
4.09934390,63.29971000,75.03383000
4.19932790,47.47478000,15.79417000
4.29931190,47.47478000,3.93700800
4.39929590,7.90477300,3.93700800
4.49927989,-3.95238700,35.54072000
4.59926389,-63.29971000,90.82800000
4.69924789,-15.82493000,126.38410000
4.79923189,-47.47478000,86.89099000
4.89921588,-39.55462000,-3.93700800
4.99919988,-63.29971000,86.89099000
5.09918388,-43.50701000,35.54072000
5.19916788,3.95238700,130.33650000
5.29915188,0.00000000,177.71900000
5.39913587,-39.55462000,138.22590000
5.49911987,-23.72970000,59.23966000
5.59910387,-19.77731000,114.52690000
5.69908787,31.64985000,67.12906000
5.79907186,-47.47478000,51.33489000
5.89905586,-11.85716000,0.00000000
5.99903986,-39.55462000,-31.58834000
6.09902386,-106.82210000,114.52690000
6.19900785,7.90477300,15.79417000
6.29899185,3.95238700,82.93860000
6.39897585,-27.68209000,7.88939400
6.49895985,-23.72970000,-11.84178000
6.59894384,-51.42716000,-3.93700800
6.69892784,-63.29971000,31.58834000
6.79891184,-7.90477300,71.08144000
6.89889584,-11.85716000,55.28728000
6.99887984,-27.68209000,-27.63595000
7.09886383,-67.25209000,-31.58834000
7.19884783,27.68209000,-94.78038000
7.29883183,15.82493000,-142.17830000
7.39881583,7.90477300,-71.08144000
7.49879982,71.20448000,11.84178000
7.59878382,-11.85716000,-19.74655000
7.69876782,-94.94955000,-35.54072000
7.79875182,39.55462000,-161.92480000
7.89873581,59.33194000,-118.47930000
7.99871981,43.50701000,-78.98621000
8.09870381,0.00000000,-134.27350000
8.19868781,11.85716000,-63.19205000
8.29867180,-19.77731000,-59.23966000
8.39865580,75.17224000,-122.43170000
8.49863980,122.64700000,-118.47930000
8.59862380,118.67920000,-63.19205000
8.69860779,75.17224000,-86.89099000
8.79859179,-27.68209000,-39.49311000
8.89857579,47.47478000,-55.28728000
8.99855979,51.42716000,-19.74655000
9.09854379,94.94955000,-19.74655000
9.19852778,27.68209000,43.44550000
9.29851178,39.55462000,-43.44550000
9.39849578,31.64985000,-27.63595000
9.49847978,75.17224000,-63.19205000
9.59846377,-31.64985000,-47.38250000
9.69844777,-7.90477300,-7.88939400
9.79843177,15.82493000,63.19205000
9.89841577,11.85716000,3.93700800
9.99839976,-47.47478000,-11.84178000
10.09838376,-51.42716000,-67.12906000
10.19836776,7.90477300,3.93700800
10.29835176,-71.20448000,82.93860000
10.39833575,11.85716000,39.49311000
10.49831975,-39.55462000,90.82800000
10.59830375,19.77731000,15.79417000
10.69828775,-43.50701000,-11.84178000
10.79827175,-23.72970000,142.17830000
10.89825574,-35.60224000,86.89099000
10.99823974,-23.72970000,90.82800000
11.09822374,-31.64985000,78.98621000
11.19820774,-130.55180000,94.78038000
11.29819173,-51.42716000,102.68520000
11.39817573,-35.60224000,63.19205000
11.49815973,-67.25209000,-23.68356000
11.59814373,-94.94955000,-27.63595000
11.69812772,-39.55462000,-39.49311000
11.79811172,-55.37955000,-3.93700800
11.89809572,-23.72970000,-3.93700800
11.99807972,-35.60224000,-11.84178000
12.09806371,-90.99716000,55.28728000
12.19804771,-23.72970000,106.63750000
12.29803171,-19.77731000,90.82800000
12.39801571,3.95238700,98.73277000
12.49799971,39.55462000,-31.58834000
12.59798370,-11.85716000,23.68356000
12.69796770,35.60224000,-31.58834000
12.79795170,47.47478000,39.49311000
12.89793570,19.77731000,-67.12906000
12.99791969,39.55462000,-27.63595000
13.09790369,-39.55462000,-23.68356000
13.19788769,23.72970000,-31.58834000
13.29787169,-43.50701000,15.79417000
13.39785568,23.72970000,31.58834000
13.49783968,-15.82493000,-23.68356000
13.59782368,-47.47478000,-31.58834000
13.69780768,39.55462000,-47.38250000
13.79779167,-11.85716000,-19.74655000
13.89777567,67.25209000,-15.79417000
13.99775967,-15.82493000,-98.73277000
14.09774367,39.55462000,-63.19205000
14.19772767,-31.64985000,-39.49311000
14.29771166,35.60224000,-31.58834000
14.39769566,98.90194000,-63.19205000
14.49767966,15.82493000,51.33489000
14.59766366,11.85716000,31.58834000
14.69764765,31.64985000,-19.74655000
14.79763165,11.85716000,-63.19205000
14.89761565,-19.77731000,27.63595000
14.99759965,15.82493000,7.88939400
15.09758364,19.77731000,-110.57460000
15.19756764,-87.02940000,-31.58834000
15.29755164,-15.82493000,-51.33489000
15.39753564,-55.37955000,27.63595000
15.49751963,-15.82493000,11.84178000
15.59750363,31.64985000,-7.88939400
15.69748763,19.77731000,-19.74655000
15.79747163,-55.37955000,31.58834000
15.89745563,47.47478000,-51.33489000
15.99743962,3.95238700,67.12906000
