Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,90.99716000,0.00000000
0.09998400,23.72970000,63.19205000
0.19996800,98.90194000,23.68356000
0.29995199,39.55462000,71.08144000
0.39993599,63.29971000,47.38250000
0.49991999,43.50701000,86.89099000
0.59990399,43.50701000,55.28728000
0.69988798,43.50701000,63.19205000
0.79987198,7.90477300,55.28728000
0.89985598,-3.95238700,43.44550000
0.99983998,39.55462000,118.47930000
1.09982397,3.95238700,102.68520000
1.19980797,31.64985000,31.58834000
1.29979197,-3.95238700,11.84178000
1.39977597,-15.82493000,39.49311000
1.49975996,7.90477300,75.03383000
1.59974396,-15.82493000,35.54072000
1.69972796,-35.60224000,106.63750000
1.79971196,-11.85716000,31.58834000
1.89969596,-71.20448000,-15.79417000
1.99967995,-94.94955000,7.88939400
2.09966395,-7.90477300,43.44550000
2.19964795,-51.42716000,19.74655000
2.29963195,-35.60224000,-11.84178000
2.39961594,-55.37955000,51.33489000
2.49959994,-98.90194000,-11.84178000
2.59958394,-98.90194000,-3.93700800
2.69956794,-43.50701000,11.84178000
2.79955193,-67.25209000,-27.63595000
2.89953593,3.95238700,-67.12906000
2.99951993,39.55462000,-27.63595000
3.09950393,-11.85716000,-35.54072000
3.19948792,-3.95238700,-35.54072000
3.29947192,-19.77731000,11.84178000
3.39945592,-11.85716000,-27.63595000
3.49943992,19.77731000,0.00000000
3.59942392,-15.82493000,51.33489000
3.69940791,19.77731000,15.79417000
3.79939191,7.90477300,-11.84178000
3.89937591,23.72970000,35.54072000
3.99935991,-39.55462000,7.88939400
4.09934390,-31.64985000,15.79417000
4.19932790,-31.64985000,23.68356000
4.29931190,-35.60224000,7.88939400
4.39929590,-51.42716000,-71.08144000
4.49927989,-19.77731000,43.44550000
4.59926389,-7.90477300,71.08144000
4.69924789,-39.55462000,-67.12906000
4.79923189,23.72970000,-3.93700800
4.89921588,-27.68209000,3.93700800
4.99919988,27.68209000,-11.84178000
5.09918388,35.60224000,-11.84178000
5.19916788,55.37955000,-31.58834000
5.29915188,31.64985000,51.33489000
5.39913587,11.85716000,15.79417000
5.49911987,-15.82493000,114.52690000
5.59910387,-55.37955000,39.49311000
5.69908787,7.90477300,43.44550000
5.79907186,11.85716000,106.63750000
5.89905586,-11.85716000,51.33489000
5.99903986,23.72970000,27.63595000
6.09902386,-11.85716000,43.44550000
6.19900785,55.37955000,-27.63595000
6.29899185,-15.82493000,-59.23966000
6.39897585,-31.64985000,-19.74655000
6.49895985,-15.82493000,-35.54072000
6.59894384,0.00000000,-11.84178000
6.69892784,-23.72970000,-23.68356000
6.79891184,31.64985000,-19.74655000
6.89889584,-23.72970000,0.00000000
6.99887984,3.95238700,19.74655000
7.09886383,35.60224000,-94.78038000
7.19884783,11.85716000,3.93700800
7.29883183,71.20448000,-51.33489000
7.39881583,75.17224000,-67.12906000
7.49879982,-19.77731000,-126.38410000
7.59878382,-7.90477300,-82.93860000
7.69876782,35.60224000,-27.63595000
7.79875182,67.25209000,-47.38250000
7.89873581,27.68209000,-122.43170000
7.99871981,94.94955000,-126.38410000
8.09870381,51.42716000,-19.74655000
8.19868781,90.99716000,-23.68356000
8.29867180,79.12463000,-94.78038000
8.39865580,43.50701000,3.93700800
8.49863980,71.20448000,-47.38250000
8.59862380,71.20448000,-23.68356000
8.69860779,47.47478000,-51.33489000
8.79859179,39.55462000,-7.88939400
8.89857579,7.90477300,11.84178000
8.99855979,19.77731000,-11.84178000
9.09854379,63.29971000,-98.73277000
9.19852778,-15.82493000,43.44550000
9.29851178,63.29971000,75.03383000
9.39849578,106.82210000,35.54072000
9.49847978,47.47478000,-15.79417000
9.59846377,59.33194000,114.52690000
9.69844777,47.47478000,15.79417000
9.79843177,27.68209000,75.03383000
9.89841577,35.60224000,122.43170000
9.99839976,31.64985000,165.87720000
10.09838376,7.90477300,67.12906000
10.19836776,-19.77731000,19.74655000
10.29835176,23.72970000,47.38250000
10.39833575,-55.37955000,110.57460000
10.49831975,47.47478000,94.78038000
10.59830375,-7.90477300,51.33489000
10.69828775,-114.72690000,75.03383000
10.79827175,-98.90194000,82.93860000
10.89825574,-79.12463000,55.28728000
10.99823974,-19.77731000,75.03383000
11.09822374,-7.90477300,23.68356000
11.19820774,-130.55180000,75.03383000
11.29819173,-150.34450000,39.49311000
11.39817573,-59.33194000,47.38250000
11.49815973,-71.20448000,27.63595000
11.59814373,-79.12463000,106.63750000
11.69812772,-67.25209000,23.68356000
11.79811172,-67.25209000,39.49311000
11.89809572,-39.55462000,3.93700800
11.99807972,-39.55462000,-39.49311000
12.09806371,-63.29971000,75.03383000
12.19804771,-31.64985000,-3.93700800
12.29803171,-39.55462000,3.93700800
12.39801571,-83.07702000,-11.84178000
12.49799971,-79.12463000,39.49311000
12.59798370,-27.68209000,-39.49311000
12.69796770,-31.64985000,-31.58834000
12.79795170,-3.95238700,-51.33489000
12.89793570,-35.60224000,-35.54072000
12.99791969,19.77731000,-142.17830000
13.09790369,43.50701000,47.38250000
13.19788769,15.82493000,-27.63595000
13.29787169,19.77731000,-55.28728000
13.39785568,51.42716000,-110.57460000
13.49783968,35.60224000,-150.08300000
13.59782368,75.17224000,-3.93700800
13.69780768,94.94955000,3.93700800
13.79779167,87.02940000,-165.87720000
13.89777567,31.64985000,-71.08144000
13.99775967,-11.85716000,-31.58834000
14.09774367,59.33194000,-7.88939400
14.19772767,55.37955000,-67.12906000
14.29771166,-7.90477300,-63.19205000
14.39769566,35.60224000,-59.23966000
14.49767966,31.64985000,-63.19205000
14.59766366,79.12463000,-94.78038000
14.69764765,67.25209000,-7.88939400
14.79763165,134.51950000,15.79417000
14.89761565,67.25209000,3.93700800
14.99759965,71.20448000,0.00000000
15.09758364,51.42716000,23.68356000
15.19756764,55.37955000,71.08144000
15.29755164,126.59940000,0.00000000
15.39753564,55.37955000,15.79417000
15.49751963,0.00000000,82.93860000
15.59750363,7.90477300,35.54072000
15.69748763,43.50701000,-11.84178000
15.79747163,-90.99716000,126.38410000
15.89745563,-39.55462000,122.43170000
15.99743962,-55.37955000,23.68356000
16.09742362,-19.77731000,55.28728000
16.19740762,3.95238700,55.28728000
