Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,0.00000000,82.93860000
0.09998400,-87.02940000,146.13070000
0.19996800,-90.99716000,-27.63595000
0.29995199,-71.20448000,-7.88939400
0.39993599,-67.25209000,-19.74655000
0.49991999,-63.29971000,35.54072000
0.59990399,-7.90477300,39.49311000
0.69988798,-102.85430000,71.08144000
0.79987198,-35.60224000,31.58834000
0.89985598,-39.55462000,75.03383000
0.99983998,-90.99716000,31.58834000
1.09982397,-15.82493000,-15.79417000
1.19980797,31.64985000,15.79417000
1.29979197,-35.60224000,-3.93700800
1.39977597,-27.68209000,90.82800000
1.49975996,-23.72970000,-7.88939400
1.59974396,7.90477300,23.68356000
1.69972796,47.47478000,3.93700800
1.79971196,-43.50701000,71.08144000
1.89969596,39.55462000,35.54072000
1.99967995,-23.72970000,-39.49311000
2.09966395,59.33194000,-39.49311000
2.19964795,15.82493000,23.68356000
2.29963195,23.72970000,35.54072000
2.39961594,43.50701000,19.74655000
2.49959994,71.20448000,-90.82800000
2.59958394,-23.72970000,35.54072000
2.69956794,55.37955000,11.84178000
2.79955193,23.72970000,-3.93700800
2.89953593,27.68209000,-47.38250000
2.99951993,-15.82493000,-3.93700800
3.09950393,-102.85430000,11.84178000
3.19948792,-90.99716000,-102.68520000
3.29947192,-23.72970000,-7.88939400
3.39945592,15.82493000,-19.74655000
3.49943992,-7.90477300,15.79417000
3.59942392,-7.90477300,-23.68356000
3.69940791,-11.85716000,0.00000000
3.79939191,-118.67920000,11.84178000
3.89937591,-55.37955000,51.33489000
3.99935991,-79.12463000,-19.74655000
4.09934390,3.95238700,-15.79417000
4.19932790,-35.60224000,-7.88939400
4.29931190,-39.55462000,-27.63595000
4.39929590,-27.68209000,-39.49311000
4.49927989,-71.20448000,47.38250000
4.59926389,-87.02940000,82.93860000
4.69924789,-19.77731000,-11.84178000
4.79923189,-98.90194000,-11.84178000
4.89921588,-110.77450000,31.58834000
4.99919988,-75.17224000,31.58834000
5.09918388,-87.02940000,-3.93700800
5.19916788,-31.64985000,106.63750000
5.29915188,-87.02940000,90.82800000
5.39913587,11.85716000,-15.79417000
5.49911987,-87.02940000,-19.74655000
5.59910387,-98.90194000,39.49311000
5.69908787,-71.20448000,59.23966000
5.79907186,-94.94955000,-71.08144000
5.89905586,-71.20448000,19.74655000
5.99903986,-15.82493000,15.79417000
6.09902386,-43.50701000,-23.68356000
6.19900785,-27.68209000,-71.08144000
6.29899185,19.77731000,-82.93860000
6.39897585,51.42716000,-23.68356000
6.49895985,15.82493000,3.93700800
6.59894384,-35.60224000,-47.38250000
6.69892784,-11.85716000,-47.38250000
6.79891184,-7.90477300,-71.08144000
6.89889584,47.47478000,-130.33650000
6.99887984,47.47478000,-51.33489000
7.09886383,27.68209000,-43.44550000
7.19884783,31.64985000,-51.33489000
7.29883183,63.29971000,-82.93860000
7.39881583,83.07702000,-35.54072000
7.49879982,126.59940000,63.19205000
7.59878382,114.72690000,-90.82800000
7.69876782,47.47478000,27.63595000
7.79875182,75.17224000,19.74655000
7.89873581,-11.85716000,-47.38250000
7.99871981,114.72690000,-75.03383000
8.09870381,63.29971000,142.17830000
8.19868781,102.85430000,59.23966000
8.29867180,79.12463000,11.84178000
8.39865580,63.29971000,11.84178000
8.49863980,35.60224000,3.93700800
8.59862380,71.20448000,118.47930000
8.69860779,47.47478000,15.79417000
8.79859179,27.68209000,7.88939400
8.89857579,35.60224000,23.68356000
8.99855979,51.42716000,78.98621000
9.09854379,39.55462000,51.33489000
9.19852778,19.77731000,75.03383000
9.29851178,43.50701000,71.08144000
9.39849578,-59.33194000,146.13070000
9.49847978,-11.85716000,114.52690000
9.59846377,-31.64985000,154.02010000
9.69844777,-51.42716000,181.67140000
9.79843177,0.00000000,106.63750000
9.89841577,23.72970000,78.98621000
9.99839976,-114.72690000,110.57460000
10.09838376,-31.64985000,110.57460000
10.19836776,-43.50701000,55.28728000
10.29835176,-122.64700000,39.49311000
10.39833575,-67.25209000,23.68356000
10.49831975,-98.90194000,63.19205000
10.59830375,-122.64700000,126.38410000
10.69828775,-67.25209000,55.28728000
10.79827175,-51.42716000,71.08144000
10.89825574,-154.29690000,82.93860000
10.99823974,-130.55180000,75.03383000
11.09822374,-98.90194000,-11.84178000
11.19820774,-47.47478000,27.63595000
11.29819173,-59.33194000,94.78038000
11.39817573,-98.90194000,27.63595000
11.49815973,-67.25209000,-3.93700800
11.59814373,23.72970000,-130.33650000
11.69812772,-23.72970000,-138.22590000
11.79811172,-35.60224000,-161.92480000
11.89809572,11.85716000,-67.12906000
11.99807972,-35.60224000,-27.63595000
12.09806371,27.68209000,-106.63750000
12.19804771,-23.72970000,-59.23966000
12.29803171,19.77731000,-86.89099000
12.39801571,23.72970000,-47.38250000
12.49799971,79.12463000,-51.33489000
12.59798370,142.42430000,-90.82800000
12.69796770,55.37955000,-126.38410000
12.79795170,71.20448000,-154.02010000
12.89793570,55.37955000,-82.93860000
12.99791969,19.77731000,-146.13070000
13.09790369,98.90194000,-118.47930000
13.19788769,71.20448000,-11.84178000
13.29787169,87.02940000,-51.33489000
13.39785568,94.94955000,-146.13070000
13.49783968,126.59940000,-118.47930000
13.59782368,106.82210000,-90.82800000
13.69780768,71.20448000,11.84178000
13.79779167,98.90194000,59.23966000
13.89777567,158.24930000,-35.54072000
13.99775967,130.55180000,-59.23966000
14.09774367,106.82210000,-47.38250000
14.19772767,94.94955000,-3.93700800
14.29771166,31.64985000,0.00000000
14.39769566,55.37955000,3.93700800
14.49767966,142.42430000,-35.54072000
14.59766366,39.55462000,-19.74655000
14.69764765,27.68209000,43.44550000
14.79763165,55.37955000,-67.12906000
14.89761565,98.90194000,31.58834000
14.99759965,106.82210000,39.49311000
15.09758364,126.59940000,-19.74655000
15.19756764,-3.95238700,7.88939400
15.29755164,31.64985000,3.93700800
15.39753564,-27.68209000,114.52690000
15.49751963,27.68209000,63.19205000
15.59750363,-7.90477300,102.68520000
15.69748763,87.02940000,71.08144000
15.79747163,27.68209000,67.12906000
15.89745563,27.68209000,71.08144000
15.99743962,27.68209000,67.12906000
16.09742362,-15.82493000,71.08144000
