Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,51.42716000,-27.63595000
0.09998400,15.82493000,27.63595000
0.19996800,-15.82493000,-7.88939400
0.29995199,154.29690000,-67.12906000
0.39993599,15.82493000,55.28728000
0.49991999,7.90477300,-23.68356000
0.59990399,3.95238700,-39.49311000
0.69988798,102.85430000,-43.44550000
0.79987198,142.42430000,-27.63595000
0.89985598,83.07702000,-3.93700800
0.99983998,102.85430000,-23.68356000
1.09982397,11.85716000,47.38250000
1.19980797,35.60224000,-23.68356000
1.29979197,-3.95238700,35.54072000
1.39977597,23.72970000,63.19205000
1.49975996,15.82493000,27.63595000
1.59974396,23.72970000,23.68356000
1.69972796,-11.85716000,39.49311000
1.79971196,-19.77731000,82.93860000
1.89969596,-67.25209000,75.03383000
1.99967995,35.60224000,-78.98621000
2.09966395,-31.64985000,27.63595000
2.19964795,7.90477300,90.82800000
2.29963195,47.47478000,23.68356000
2.39961594,-71.20448000,3.93700800
2.49959994,-3.95238700,-31.58834000
2.59958394,75.17224000,-35.54072000
2.69956794,-35.60224000,3.93700800
2.79955193,-51.42716000,67.12906000
2.89953593,27.68209000,78.98621000
2.99951993,-11.85716000,71.08144000
3.09950393,-11.85716000,-31.58834000
3.19948792,-35.60224000,71.08144000
3.29947192,-15.82493000,-3.93700800
3.39945592,-35.60224000,82.93860000
3.49943992,-98.90194000,11.84178000
3.59942392,-83.07702000,-11.84178000
3.69940791,-55.37955000,39.49311000
3.79939191,-114.72690000,-7.88939400
3.89937591,-51.42716000,-15.79417000
3.99935991,-7.90477300,-23.68356000
4.09934390,-31.64985000,-47.38250000
4.19932790,-23.72970000,-78.98621000
4.29931190,-7.90477300,-7.88939400
4.39929590,-55.37955000,3.93700800
4.49927989,-79.12463000,7.88939400
4.59926389,-19.77731000,-126.38410000
4.69924789,-43.50701000,-3.93700800
4.79923189,-55.37955000,-47.38250000
4.89921588,0.00000000,3.93700800
4.99919988,51.42716000,-35.54072000
5.09918388,0.00000000,-15.79417000
5.19916788,-3.95238700,-31.58834000
5.29915188,23.72970000,-122.43170000
5.39913587,-15.82493000,-47.38250000
5.49911987,106.82210000,-67.12906000
5.59910387,90.99716000,-90.82800000
5.69908787,110.77450000,-118.47930000
5.79907186,39.55462000,-150.08300000
5.89905586,35.60224000,-146.13070000
5.99903986,75.17224000,-86.89099000
6.09902386,83.07702000,-59.23966000
6.19900785,106.82210000,-43.44550000
6.29899185,43.50701000,-67.12906000
6.39897585,110.77450000,-55.28728000
6.49895985,134.51950000,-67.12906000
6.59894384,110.77450000,-7.88939400
6.69892784,87.02940000,-59.23966000
6.79891184,71.20448000,-19.74655000
6.89889584,55.37955000,-3.93700800
6.99887984,83.07702000,11.84178000
7.09886383,87.02940000,19.74655000
7.19884783,114.72690000,-39.49311000
7.29883183,94.94955000,-59.23966000
7.39881583,79.12463000,-59.23966000
7.49879982,31.64985000,-106.63750000
7.59878382,39.55462000,-19.74655000
7.69876782,67.25209000,-3.93700800
7.79875182,110.77450000,-31.58834000
7.89873581,15.82493000,-47.38250000
7.99871981,-39.55462000,23.68356000
8.09870381,47.47478000,-7.88939400
8.19868781,11.85716000,63.19205000
8.29867180,31.64985000,63.19205000
8.39865580,-19.77731000,86.89099000
8.49863980,-11.85716000,-11.84178000
8.59862380,-59.33194000,154.02010000
8.69860779,-47.47478000,55.28728000
8.79859179,11.85716000,86.89099000
8.89857579,-67.25209000,169.82960000
8.99855979,-83.07702000,122.43170000
9.09854379,-43.50701000,130.33650000
9.19852778,-79.12463000,43.44550000
9.29851178,-75.17224000,67.12906000
9.39849578,-35.60224000,102.68520000
9.49847978,-43.50701000,39.49311000
9.59846377,-114.72690000,47.38250000
9.69844777,-130.55180000,31.58834000
9.79843177,-27.68209000,15.79417000
9.89841577,-51.42716000,122.43170000
9.99839976,-75.17224000,98.73277000
10.09838376,-43.50701000,51.33489000
10.19836776,-118.67920000,106.63750000
10.29835176,-67.25209000,82.93860000
10.39833575,-114.72690000,90.82800000
10.49831975,-90.99716000,59.23966000
10.59830375,27.68209000,7.88939400
10.69828775,-79.12463000,67.12906000
10.79827175,-79.12463000,67.12906000
10.89825574,-39.55462000,27.63595000
10.99823974,7.90477300,-3.93700800
11.09822374,-114.72690000,-63.19205000
11.19820774,-23.72970000,-75.03383000
11.29819173,11.85716000,-126.38410000
11.39817573,23.72970000,-118.47930000
11.49815973,-7.90477300,-67.12906000
11.59814373,-27.68209000,-102.68520000
11.69812772,19.77731000,-161.92480000
11.79811172,-15.82493000,-106.63750000
11.89809572,71.20448000,-154.02010000
11.99807972,71.20448000,-86.89099000
12.09806371,63.29971000,-130.33650000
12.19804771,43.50701000,-71.08144000
12.29803171,71.20448000,-106.63750000
12.39801571,146.37670000,-90.82800000
12.49799971,142.42430000,-134.27350000
12.59798370,51.42716000,-82.93860000
12.69796770,90.99716000,-67.12906000
12.79795170,83.07702000,-67.12906000
12.89793570,79.12463000,-118.47930000
12.99791969,174.07420000,-114.52690000
13.09790369,122.64700000,-47.38250000
13.19788769,146.37670000,55.28728000
13.29787169,114.72690000,-15.79417000
13.39785568,118.67920000,-122.43170000
13.49783968,185.94670000,-19.74655000
13.59782368,138.47190000,39.49311000
13.69780768,55.37955000,43.44550000
13.79779167,87.02940000,15.79417000
13.89777567,47.47478000,11.84178000
13.99775967,-19.77731000,3.93700800
14.09774367,47.47478000,114.52690000
14.19772767,27.68209000,130.33650000
14.29771166,19.77731000,31.58834000
14.39769566,27.68209000,19.74655000
14.49767966,11.85716000,43.44550000
14.59766366,-23.72970000,138.22590000
14.69764765,31.64985000,134.27350000
14.79763165,-67.25209000,134.27350000
14.89761565,-79.12463000,-3.93700800
14.99759965,-71.20448000,126.38410000
15.09758364,-87.02940000,221.16450000
15.19756764,-59.33194000,173.78200000
15.29755164,-35.60224000,102.68520000
15.39753564,-47.47478000,51.33489000
15.49751963,-130.55180000,142.17830000
15.59750363,-138.47190000,150.08300000
15.69748763,-146.37670000,134.27350000
15.79747163,-75.17224000,161.92480000
15.89745563,-138.47190000,63.19205000
15.99743962,-59.33194000,67.12906000
16.09742362,-130.55180000,59.23966000
