Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,83.07702000,78.98621000
0.09998400,71.20448000,165.87720000
0.19996800,47.47478000,142.17830000
0.29995199,59.33194000,82.93860000
0.39993599,-3.95238700,138.22590000
0.49991999,-7.90477300,94.78038000
0.59990399,27.68209000,86.89099000
0.69988798,-19.77731000,75.03383000
0.79987198,-39.55462000,165.87720000
0.89985598,-87.02940000,110.57460000
0.99983998,-19.77731000,154.02010000
1.09982397,-31.64985000,146.13070000
1.19980797,-150.34450000,122.43170000
1.29979197,-130.55180000,71.08144000
1.39977597,-209.69180000,185.62370000
1.49975996,-213.64420000,201.41790000
1.59974396,-114.72690000,138.22590000
1.69972796,-213.64420000,154.02010000
1.79971196,-158.24930000,71.08144000
1.89969596,-237.37390000,122.43170000
1.99967995,-146.37670000,126.38410000
2.09966395,-189.89910000,205.37030000
2.19964795,-162.20160000,71.08144000
2.29963195,-193.86690000,86.89099000
2.39961594,-197.81920000,94.78038000
2.49959994,-253.21420000,114.52690000
2.59958394,-229.46910000,75.03383000
2.69956794,-249.24640000,63.19205000
2.79955193,-217.59660000,31.58834000
2.89953593,-102.85430000,39.49311000
2.99951993,-154.29690000,47.38250000
3.09950393,-122.64700000,55.28728000
3.19948792,-114.72690000,-39.49311000
3.29947192,-170.12180000,-59.23966000
3.39945592,-122.64700000,-3.93700800
3.49943992,-55.37955000,-75.03383000
3.59942392,-102.85430000,-94.78038000
3.69940791,-55.37955000,-197.48090000
3.79939191,-71.20448000,-165.87720000
3.89937591,-51.42716000,-98.73277000
3.99935991,90.99716000,-126.38410000
4.09934390,59.33194000,-161.92480000
4.19932790,75.17224000,-90.82800000
4.29931190,51.42716000,-27.63595000
4.39929590,55.37955000,-154.02010000
4.49927989,59.33194000,-55.28728000
4.59926389,23.72970000,-3.93700800
4.69924789,75.17224000,-157.97240000
4.79923189,110.77450000,-189.57610000
4.89921588,114.72690000,-142.17830000
4.99919988,106.82210000,-39.49311000
5.09918388,158.24930000,0.00000000
5.19916788,178.02660000,-86.89099000
5.29915188,134.51950000,-19.74655000
5.39913587,122.64700000,-114.52690000
5.49911987,110.77450000,-177.71900000
5.59910387,170.12180000,-142.17830000
5.69908787,193.86690000,-110.57460000
5.79907186,118.67920000,-138.22590000
5.89905586,23.72970000,-90.82800000
5.99903986,71.20448000,-110.57460000
6.09902386,110.77450000,-86.89099000
6.19900785,51.42716000,3.93700800
6.29899185,39.55462000,-11.84178000
6.39897585,83.07702000,-114.52690000
6.49895985,47.47478000,-71.08144000
6.59894384,23.72970000,-7.88939400
6.69892784,90.99716000,-67.12906000
6.79891184,114.72690000,63.19205000
6.89889584,67.25209000,-31.58834000
6.99887984,51.42716000,15.79417000
7.09886383,98.90194000,-23.68356000
7.19884783,47.47478000,110.57460000
7.29883183,-11.85716000,82.93860000
7.39881583,-31.64985000,55.28728000
7.49879982,23.72970000,82.93860000
7.59878382,-87.02940000,71.08144000
7.69876782,19.77731000,55.28728000
7.79875182,11.85716000,94.78038000
7.89873581,-55.37955000,122.43170000
7.99871981,-59.33194000,59.23966000
8.09870381,-27.68209000,39.49311000
8.19868781,-19.77731000,39.49311000
8.29867180,0.00000000,43.44550000
8.39865580,-63.29971000,82.93860000
8.49863980,-3.95238700,55.28728000
8.59862380,-43.50701000,67.12906000
8.69860779,-15.82493000,15.79417000
8.79859179,-71.20448000,43.44550000
8.89857579,-67.25209000,19.74655000
8.99855979,-31.64985000,19.74655000
9.09854379,-51.42716000,3.93700800
9.19852778,-75.17224000,19.74655000
9.29851178,31.64985000,35.54072000
9.39849578,27.68209000,-19.74655000
9.49847978,3.95238700,23.68356000
9.59846377,-7.90477300,-35.54072000
9.69844777,43.50701000,-23.68356000
9.79843177,39.55462000,-43.44550000
9.89841577,-7.90477300,15.79417000
9.99839976,63.29971000,-23.68356000
10.09838376,3.95238700,-27.63595000
10.19836776,3.95238700,-63.19205000
10.29835176,-27.68209000,-63.19205000
10.39833575,94.94955000,-110.57460000
10.49831975,0.00000000,-23.68356000
10.59830375,43.50701000,-63.19205000
10.69828775,27.68209000,-3.93700800
10.79827175,15.82493000,-114.52690000
10.89825574,27.68209000,-130.33650000
10.99823974,19.77731000,-19.74655000
11.09822374,71.20448000,-126.38410000
11.19820774,63.29971000,-27.63595000
11.29819173,15.82493000,23.68356000
11.39817573,106.82210000,-90.82800000
11.49815973,75.17224000,-39.49311000
11.59814373,79.12463000,3.93700800
11.69812772,122.64700000,59.23966000
11.79811172,35.60224000,47.38250000
11.89809572,39.55462000,-59.23966000
11.99807972,59.33194000,-7.88939400
12.09806371,-3.95238700,-11.84178000
12.19804771,31.64985000,-51.33489000
12.29803171,98.90194000,63.19205000
12.39801571,67.25209000,106.63750000
12.49799971,43.50701000,39.49311000
12.59798370,19.77731000,86.89099000
12.69796770,-39.55462000,39.49311000
12.79795170,-31.64985000,98.73277000
12.89793570,-27.68209000,47.38250000
12.99791969,-51.42716000,126.38410000
13.09790369,3.95238700,90.82800000
13.19788769,-35.60224000,134.27350000
13.29787169,-19.77731000,67.12906000
13.39785568,-31.64985000,134.27350000
13.49783968,-98.90194000,106.63750000
13.59782368,-138.47190000,55.28728000
13.69780768,-102.85430000,47.38250000
13.79779167,-150.34450000,19.74655000
13.89777567,-189.89910000,82.93860000
13.99775967,-130.55180000,126.38410000
14.09774367,-142.42430000,27.63595000
14.19772767,-193.86690000,59.23966000
14.29771166,-90.99716000,23.68356000
14.39769566,-118.67920000,86.89099000
14.49767966,-87.02940000,106.63750000
14.59766366,-63.29971000,47.38250000
14.69764765,-47.47478000,-82.93860000
14.79763165,-67.25209000,-11.84178000
14.89761565,-23.72970000,-27.63595000
14.99759965,-94.94955000,-19.74655000
15.09758364,-94.94955000,0.00000000
15.19756764,-94.94955000,-67.12906000
15.29755164,-71.20448000,-27.63595000
15.39753564,-35.60224000,-90.82800000
15.49751963,3.95238700,-75.03383000
15.59750363,3.95238700,-31.58834000
15.69748763,-75.17224000,-98.73277000
15.79747163,-15.82493000,-126.38410000
15.89745563,-55.37955000,-205.37030000
15.99743962,39.55462000,-82.93860000
16.09742362,90.99716000,-94.78038000
