Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,-19.77731000,71.08144000
0.09998400,-134.51950000,94.78038000
0.19996800,-11.85716000,146.13070000
0.29995199,-63.29971000,98.73277000
0.39993599,-67.25209000,98.73277000
0.49991999,-166.16940000,59.23966000
0.59990399,-114.72690000,11.84178000
0.69988798,-150.34450000,-3.93700800
0.79987198,-67.25209000,-7.88939400
0.89985598,-114.72690000,23.68356000
0.99983998,-106.82210000,55.28728000
1.09982397,-142.42430000,11.84178000
1.19980797,-87.02940000,-19.74655000
1.29979197,-83.07702000,-11.84178000
1.39977597,-39.55462000,0.00000000
1.49975996,-83.07702000,-43.44550000
1.59974396,-98.90194000,0.00000000
1.69972796,-83.07702000,-86.89099000
1.79971196,-75.17224000,55.28728000
1.89969596,-11.85716000,39.49311000
1.99967995,39.55462000,27.63595000
2.09966395,-87.02940000,3.93700800
2.19964795,-67.25209000,-63.19205000
2.29963195,-51.42716000,-118.47930000
2.39961594,11.85716000,-23.68356000
2.49959994,19.77731000,-43.44550000
2.59958394,19.77731000,-27.63595000
2.69956794,7.90477300,-63.19205000
2.79955193,-7.90477300,-63.19205000
2.89953593,51.42716000,-31.58834000
2.99951993,23.72970000,-11.84178000
3.09950393,15.82493000,27.63595000
3.19948792,27.68209000,-106.63750000
3.29947192,23.72970000,-39.49311000
3.39945592,19.77731000,-7.88939400
3.49943992,51.42716000,-67.12906000
3.59942392,15.82493000,-106.63750000
3.69940791,59.33194000,-82.93860000
3.79939191,75.17224000,-31.58834000
3.89937591,51.42716000,35.54072000
3.99935991,59.33194000,51.33489000
4.09934390,75.17224000,-19.74655000
4.19932790,67.25209000,-51.33489000
4.29931190,23.72970000,11.84178000
4.39929590,0.00000000,106.63750000
4.49927989,51.42716000,59.23966000
4.59926389,-23.72970000,43.44550000
4.69924789,-31.64985000,23.68356000
4.79923189,-31.64985000,7.88939400
4.89921588,23.72970000,55.28728000
4.99919988,122.64700000,3.93700800
5.09918388,-35.60224000,71.08144000
5.19916788,-55.37955000,-7.88939400
5.29915188,-106.82210000,-23.68356000
5.39913587,-27.68209000,47.38250000
5.49911987,-142.42430000,-23.68356000
5.59910387,-106.82210000,-67.12906000
5.69908787,-27.68209000,-35.54072000
5.79907186,-51.42716000,-7.88939400
5.89905586,-67.25209000,-19.74655000
5.99903986,-79.12463000,15.79417000
6.09902386,-110.77450000,47.38250000
6.19900785,-114.72690000,67.12906000
6.29899185,-31.64985000,47.38250000
6.39897585,-87.02940000,27.63595000
6.49895985,-47.47478000,-3.93700800
6.59894384,-7.90477300,63.19205000
6.69892784,-11.85716000,27.63595000
6.79891184,-27.68209000,-35.54072000
6.89889584,-71.20448000,3.93700800
6.99887984,-63.29971000,-31.58834000
7.09886383,3.95238700,7.88939400
7.19884783,7.90477300,31.58834000
7.29883183,3.95238700,-19.74655000
7.39881583,-98.90194000,-86.89099000
7.49879982,-3.95238700,7.88939400
7.59878382,7.90477300,-11.84178000
7.69876782,-19.77731000,-7.88939400
7.79875182,0.00000000,3.93700800
7.89873581,-19.77731000,-86.89099000
7.99871981,-71.20448000,-35.54072000
8.09870381,-19.77731000,-47.38250000
8.19868781,-63.29971000,-51.33489000
8.29867180,15.82493000,-75.03383000
8.39865580,15.82493000,-130.33650000
8.49863980,23.72970000,-71.08144000
8.59862380,-15.82493000,-71.08144000
8.69860779,3.95238700,-78.98621000
8.79859179,-11.85716000,-110.57460000
8.89857579,43.50701000,-35.54072000
8.99855979,35.60224000,11.84178000
9.09854379,55.37955000,67.12906000
9.19852778,75.17224000,-7.88939400
9.29851178,35.60224000,31.58834000
9.39849578,75.17224000,-19.74655000
9.49847978,122.64700000,-71.08144000
9.59846377,94.94955000,0.00000000
9.69844777,-11.85716000,35.54072000
9.79843177,59.33194000,-11.84178000
9.89841577,71.20448000,-11.84178000
9.99839976,-7.90477300,82.93860000
10.09838376,31.64985000,-15.79417000
10.19836776,87.02940000,-23.68356000
10.29835176,35.60224000,39.49311000
10.39833575,-15.82493000,7.88939400
10.49831975,23.72970000,-3.93700800
10.59830375,67.25209000,-23.68356000
10.69828775,19.77731000,-23.68356000
10.79827175,39.55462000,-31.58834000
10.89825574,-15.82493000,-31.58834000
10.99823974,55.37955000,55.28728000
11.09822374,7.90477300,59.23966000
11.19820774,-15.82493000,-15.79417000
11.29819173,31.64985000,-23.68356000
11.39817573,67.25209000,-27.63595000
11.49815973,67.25209000,19.74655000
11.59814373,27.68209000,35.54072000
11.69812772,27.68209000,-3.93700800
11.79811172,-7.90477300,-27.63595000
11.89809572,11.85716000,0.00000000
11.99807972,63.29971000,-11.84178000
12.09806371,35.60224000,-11.84178000
12.19804771,31.64985000,-71.08144000
12.29803171,59.33194000,0.00000000
12.39801571,35.60224000,55.28728000
12.49799971,106.82210000,78.98621000
12.59798370,63.29971000,11.84178000
12.69796770,19.77731000,-55.28728000
12.79795170,59.33194000,-35.54072000
12.89793570,27.68209000,0.00000000
12.99791969,79.12463000,35.54072000
13.09790369,75.17224000,0.00000000
13.19788769,87.02940000,31.58834000
13.29787169,19.77731000,47.38250000
13.39785568,35.60224000,-39.49311000
13.49783968,55.37955000,71.08144000
13.59782368,55.37955000,130.33650000
13.69780768,55.37955000,-19.74655000
13.79779167,11.85716000,-51.33489000
13.89777567,71.20448000,-63.19205000
13.99775967,59.33194000,-55.28728000
14.09774367,55.37955000,23.68356000
14.19772767,-11.85716000,106.63750000
14.29771166,27.68209000,47.38250000
14.39769566,-27.68209000,15.79417000
14.49767966,47.47478000,-35.54072000
14.59766366,55.37955000,-15.79417000
14.69764765,-23.72970000,7.88939400
14.79763165,-47.47478000,35.54072000
14.89761565,-27.68209000,3.93700800
14.99759965,-87.02940000,110.57460000
15.09758364,-3.95238700,94.78038000
15.19756764,7.90477300,31.58834000
15.29755164,15.82493000,-3.93700800
15.39753564,-19.77731000,51.33489000
15.49751963,-19.77731000,82.93860000
15.59750363,-7.90477300,43.44550000
15.69748763,-19.77731000,39.49311000
15.79747163,-59.33194000,-19.74655000
15.89745563,-15.82493000,-7.88939400
15.99743962,-23.72970000,59.23966000
16.09742362,3.95238700,-19.74655000
