Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,154.29690000,-31.58834000
0.09998400,130.55180000,-75.03383000
0.19996800,87.02940000,-90.82800000
0.29995199,106.82210000,3.93700800
0.39993599,134.51950000,15.79417000
0.49991999,110.77450000,-39.49311000
0.59990399,71.20448000,39.49311000
0.69988798,31.64985000,39.49311000
0.79987198,67.25209000,102.68520000
0.89985598,-3.95238700,90.82800000
0.99983998,-23.72970000,126.38410000
1.09982397,-55.37955000,154.02010000
1.19980797,-83.07702000,67.12906000
1.29979197,-35.60224000,47.38250000
1.39977597,-27.68209000,51.33489000
1.49975996,-35.60224000,78.98621000
1.59974396,-79.12463000,142.17830000
1.69972796,-27.68209000,114.52690000
1.79971196,-83.07702000,154.02010000
1.89969596,-63.29971000,114.52690000
1.99967995,-67.25209000,181.67140000
2.09966395,-118.67920000,161.92480000
2.19964795,-106.82210000,142.17830000
2.29963195,-98.90194000,122.43170000
2.39961594,-122.64700000,130.33650000
2.49959994,-98.90194000,130.33650000
2.59958394,-102.85430000,157.97240000
2.69956794,-71.20448000,78.98621000
2.79955193,-138.47190000,86.89099000
2.89953593,-19.77731000,110.57460000
2.99951993,-75.17224000,126.38410000
3.09950393,-142.42430000,177.71900000
3.19948792,-83.07702000,225.11690000
3.29947192,-138.47190000,181.67140000
3.39945592,-90.99716000,82.93860000
3.49943992,-150.34450000,98.73277000
3.59942392,-146.37670000,55.28728000
3.69940791,-114.72690000,78.98621000
3.79939191,-126.59940000,67.12906000
3.89937591,-126.59940000,98.73277000
3.99935991,-118.67920000,55.28728000
4.09934390,-126.59940000,82.93860000
4.19932790,-59.33194000,35.54072000
4.29931190,-51.42716000,51.33489000
4.39929590,-23.72970000,67.12906000
4.49927989,-51.42716000,7.88939400
4.59926389,-90.99716000,27.63595000
4.69924789,-31.64985000,31.58834000
4.79923189,-35.60224000,-23.68356000
4.89921588,-63.29971000,-142.17830000
4.99919988,-39.55462000,-23.68356000
5.09918388,43.50701000,31.58834000
5.19916788,-55.37955000,-43.44550000
5.29915188,-19.77731000,-59.23966000
5.39913587,-98.90194000,-75.03383000
5.49911987,-39.55462000,-51.33489000
5.59910387,-43.50701000,-118.47930000
5.69908787,27.68209000,-31.58834000
5.79907186,-7.90477300,-67.12906000
5.89905586,23.72970000,-106.63750000
5.99903986,27.68209000,-67.12906000
6.09902386,-23.72970000,-59.23966000
6.19900785,3.95238700,-63.19205000
6.29899185,7.90477300,-94.78038000
6.39897585,67.25209000,-19.74655000
6.49895985,43.50701000,-27.63595000
6.59894384,59.33194000,-118.47930000
6.69892784,71.20448000,-55.28728000
6.79891184,63.29971000,-146.13070000
6.89889584,51.42716000,-15.79417000
6.99887984,98.90194000,-3.93700800
7.09886383,35.60224000,-11.84178000
7.19884783,27.68209000,-75.03383000
7.29883183,51.42716000,-71.08144000
7.39881583,146.37670000,-82.93860000
7.49879982,23.72970000,-31.58834000
7.59878382,55.37955000,-47.38250000
7.69876782,-23.72970000,-47.38250000
7.79875182,-39.55462000,-31.58834000
7.89873581,23.72970000,-43.44550000
7.99871981,39.55462000,-11.84178000
8.09870381,55.37955000,-47.38250000
8.19868781,59.33194000,-19.74655000
8.29867180,-59.33194000,19.74655000
8.39865580,79.12463000,-75.03383000
8.49863980,39.55462000,-23.68356000
8.59862380,15.82493000,31.58834000
8.69860779,7.90477300,27.63595000
8.79859179,43.50701000,-106.63750000
8.89857579,19.77731000,-31.58834000
8.99855979,47.47478000,3.93700800
9.09854379,79.12463000,19.74655000
9.19852778,-55.37955000,35.54072000
9.29851178,-55.37955000,59.23966000
9.39849578,3.95238700,-39.49311000
9.49847978,19.77731000,-31.58834000
9.59846377,-3.95238700,31.58834000
9.69844777,-55.37955000,0.00000000
9.79843177,-19.77731000,0.00000000
9.89841577,-55.37955000,-55.28728000
9.99839976,-27.68209000,-31.58834000
10.09838376,-7.90477300,-27.63595000
10.19836776,0.00000000,-7.88939400
10.29835176,3.95238700,23.68356000
10.39833575,55.37955000,23.68356000
10.49831975,3.95238700,11.84178000
10.59830375,51.42716000,-47.38250000
10.69828775,83.07702000,-7.88939400
10.79827175,19.77731000,67.12906000
10.89825574,31.64985000,15.79417000
10.99823974,-15.82493000,-3.93700800
11.09822374,-31.64985000,39.49311000
11.19820774,-98.90194000,7.88939400
11.29819173,27.68209000,-75.03383000
11.39817573,-35.60224000,15.79417000
11.49815973,-39.55462000,27.63595000
11.59814373,-31.64985000,-43.44550000
11.69812772,-11.85716000,-35.54072000
11.79811172,27.68209000,-3.93700800
11.89809572,51.42716000,51.33489000
11.99807972,-7.90477300,35.54072000
12.09806371,39.55462000,-39.49311000
12.19804771,7.90477300,-3.93700800
12.29803171,-11.85716000,-19.74655000
12.39801571,-35.60224000,-47.38250000
12.49799971,-67.25209000,19.74655000
12.59798370,7.90477300,43.44550000
12.69796770,-75.17224000,82.93860000
12.79795170,-3.95238700,43.44550000
12.89793570,35.60224000,-39.49311000
12.99791969,-23.72970000,-39.49311000
13.09790369,-27.68209000,-82.93860000
13.19788769,-39.55462000,-19.74655000
13.29787169,-11.85716000,7.88939400
13.39785568,47.47478000,-94.78038000
13.49783968,-47.47478000,-47.38250000
13.59782368,-87.02940000,-51.33489000
13.69780768,-67.25209000,-59.23966000
13.79779167,-23.72970000,11.84178000
13.89777567,-31.64985000,-102.68520000
13.99775967,-75.17224000,-63.19205000
14.09774367,23.72970000,-90.82800000
14.19772767,23.72970000,-71.08144000
14.29771166,110.77450000,-19.74655000
14.39769566,75.17224000,11.84178000
14.49767966,79.12463000,-7.88939400
14.59766366,3.95238700,35.54072000
14.69764765,47.47478000,-43.44550000
14.79763165,87.02940000,23.68356000
14.89761565,94.94955000,-27.63595000
14.99759965,59.33194000,90.82800000
15.09758364,3.95238700,11.84178000
15.19756764,31.64985000,-47.38250000
15.29755164,98.90194000,-43.44550000
15.39753564,75.17224000,-35.54072000
15.49751963,126.59940000,-7.88939400
15.59750363,71.20448000,-19.74655000
15.69748763,63.29971000,-47.38250000
15.79747163,11.85716000,0.00000000
15.89745563,19.77731000,-43.44550000
15.99743962,63.29971000,-19.74655000
