Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,7.90477300,-7.88939400
0.09998400,27.68209000,39.49311000
0.19996800,15.82493000,-7.88939400
0.29995199,-31.64985000,-51.33489000
0.39993599,-35.60224000,-11.84178000
0.49991999,63.29971000,-15.79417000
0.59990399,-19.77731000,15.79417000
0.69988798,-19.77731000,43.44550000
0.79987198,7.90477300,-75.03383000
0.89985598,3.95238700,31.58834000
0.99983998,35.60224000,47.38250000
1.09982397,-31.64985000,43.44550000
1.19980797,-83.07702000,90.82800000
1.29979197,15.82493000,55.28728000
1.39977597,-43.50701000,63.19205000
1.49975996,23.72970000,94.78038000
1.59974396,19.77731000,-47.38250000
1.69972796,-67.25209000,67.12906000
1.79971196,-51.42716000,23.68356000
1.89969596,-87.02940000,86.89099000
1.99967995,-31.64985000,86.89099000
2.09966395,3.95238700,43.44550000
2.19964795,-59.33194000,23.68356000
2.29963195,-79.12463000,43.44550000
2.39961594,-43.50701000,19.74655000
2.49959994,19.77731000,63.19205000
2.59958394,-35.60224000,-15.79417000
2.69956794,23.72970000,27.63595000
2.79955193,-110.77450000,55.28728000
2.89953593,-23.72970000,-7.88939400
2.99951993,-27.68209000,11.84178000
3.09950393,-31.64985000,-47.38250000
3.19948792,-71.20448000,-59.23966000
3.29947192,-19.77731000,27.63595000
3.39945592,-23.72970000,-75.03383000
3.49943992,-23.72970000,-35.54072000
3.59942392,-55.37955000,-122.43170000
3.69940791,-43.50701000,-150.08300000
3.79939191,-15.82493000,-86.89099000
3.89937591,-47.47478000,-35.54072000
3.99935991,106.82210000,-106.63750000
4.09934390,47.47478000,-59.23966000
4.19932790,19.77731000,-138.22590000
4.29931190,-11.85716000,-51.33489000
4.39929590,47.47478000,-3.93700800
4.49927989,39.55462000,-94.78038000
4.59926389,106.82210000,-157.97240000
4.69924789,55.37955000,-94.78038000
4.79923189,23.72970000,-3.93700800
4.89921588,75.17224000,-55.28728000
4.99919988,19.77731000,-7.88939400
5.09918388,79.12463000,-47.38250000
5.19916788,126.59940000,-71.08144000
5.29915188,118.67920000,-15.79417000
5.39913587,110.77450000,-35.54072000
5.49911987,55.37955000,-39.49311000
5.59910387,19.77731000,51.33489000
5.69908787,31.64985000,-78.98621000
5.79907186,3.95238700,78.98621000
5.89905586,27.68209000,98.73277000
5.99903986,7.90477300,86.89099000
6.09902386,-11.85716000,39.49311000
6.19900785,-15.82493000,122.43170000
6.29899185,3.95238700,102.68520000
6.39897585,43.50701000,39.49311000
6.49895985,-63.29971000,51.33489000
6.59894384,-98.90194000,78.98621000
6.69892784,-106.82210000,138.22590000
6.79891184,-35.60224000,146.13070000
6.89889584,-158.24930000,102.68520000
6.99887984,-126.59940000,75.03383000
7.09886383,-106.82210000,94.78038000
7.19884783,-98.90194000,110.57460000
7.29883183,-134.51950000,169.82960000
7.39881583,-98.90194000,75.03383000
7.49879982,-162.20160000,126.38410000
7.59878382,-114.72690000,118.47930000
7.69876782,-71.20448000,59.23966000
7.79875182,-150.34450000,94.78038000
7.89873581,-150.34450000,118.47930000
7.99871981,-110.77450000,78.98621000
8.09870381,-150.34450000,82.93860000
8.19868781,-142.42430000,67.12906000
8.29867180,-138.47190000,7.88939400
8.39865580,-154.29690000,39.49311000
8.49863980,-94.94955000,-67.12906000
8.59862380,-122.64700000,27.63595000
8.69860779,-31.64985000,31.58834000
8.79859179,-83.07702000,-31.58834000
8.89857579,-130.55180000,0.00000000
8.99855979,-23.72970000,-63.19205000
9.09854379,-43.50701000,-59.23966000
9.19852778,-55.37955000,-55.28728000
9.29851178,-71.20448000,-82.93860000
9.39849578,-39.55462000,-94.78038000
9.49847978,-7.90477300,-114.52690000
9.59846377,75.17224000,-134.27350000
9.69844777,11.85716000,-138.22590000
9.79843177,-31.64985000,-173.78200000
9.89841577,35.60224000,-157.97240000
9.99839976,23.72970000,-78.98621000
10.09838376,15.82493000,-110.57460000
10.19836776,7.90477300,-157.97240000
10.29835176,90.99716000,-157.97240000
10.39833575,98.90194000,-138.22590000
10.49831975,118.67920000,-86.89099000
10.59830375,35.60224000,-126.38410000
10.69828775,102.85430000,-142.17830000
10.79827175,134.51950000,-122.43170000
10.89825574,122.64700000,-102.68520000
10.99823974,126.59940000,-122.43170000
11.09822374,102.85430000,-169.82960000
11.19820774,67.25209000,-114.52690000
11.29819173,166.16940000,-98.73277000
11.39817573,162.20160000,-86.89099000
11.49815973,166.16940000,-110.57460000
11.59814373,102.85430000,-71.08144000
11.69812772,138.47190000,-181.67140000
11.79811172,118.67920000,-35.54072000
11.89809572,47.47478000,-63.19205000
11.99807972,94.94955000,-11.84178000
12.09806371,94.94955000,-27.63595000
12.19804771,79.12463000,-23.68356000
12.29803171,47.47478000,3.93700800
12.39801571,79.12463000,7.88939400
12.49799971,71.20448000,23.68356000
12.59798370,71.20448000,-15.79417000
12.69796770,75.17224000,51.33489000
12.79795170,126.59940000,90.82800000
12.89793570,110.77450000,94.78038000
12.99791969,102.85430000,55.28728000
13.09790369,-19.77731000,59.23966000
13.19788769,27.68209000,114.52690000
13.29787169,35.60224000,118.47930000
13.39785568,19.77731000,78.98621000
13.49783968,31.64985000,90.82800000
13.59782368,15.82493000,118.47930000
13.69780768,79.12463000,118.47930000
13.79779167,7.90477300,118.47930000
13.89777567,47.47478000,165.87720000
13.99775967,-39.55462000,122.43170000
14.09774367,-47.47478000,47.38250000
14.19772767,-90.99716000,31.58834000
14.29771166,-59.33194000,78.98621000
14.39769566,-15.82493000,78.98621000
14.49767966,-94.94955000,27.63595000
14.59766366,-87.02940000,35.54072000
14.69764765,-55.37955000,39.49311000
14.79763165,-102.85430000,114.52690000
14.89761565,-102.85430000,78.98621000
14.99759965,-114.72690000,51.33489000
15.09758364,-67.25209000,-27.63595000
15.19756764,-19.77731000,106.63750000
15.29755164,-55.37955000,7.88939400
15.39753564,-35.60224000,-55.28728000
15.49751963,-35.60224000,-114.52690000
15.59750363,-35.60224000,-94.78038000
15.69748763,15.82493000,-78.98621000
15.79747163,35.60224000,-15.79417000
15.89745563,3.95238700,-23.68356000
15.99743962,-71.20448000,-59.23966000
