Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,27.68209000,31.58834000
0.09998400,63.29971000,-67.12906000
0.19996800,23.72970000,-59.23966000
0.29995199,63.29971000,-51.33489000
0.39993599,35.60224000,-35.54072000
0.49991999,83.07702000,94.78038000
0.59990399,7.90477300,23.68356000
0.69988798,19.77731000,27.63595000
0.79987198,27.68209000,31.58834000
0.89985598,3.95238700,51.33489000
0.99983998,-15.82493000,47.38250000
1.09982397,-19.77731000,-7.88939400
1.19980797,43.50701000,-51.33489000
1.29979197,-19.77731000,-55.28728000
1.39977597,11.85716000,-35.54072000
1.49975996,51.42716000,-11.84178000
1.59974396,-27.68209000,7.88939400
1.69972796,-59.33194000,43.44550000
1.79971196,75.17224000,-31.58834000
1.89969596,-67.25209000,-47.38250000
1.99967995,-19.77731000,-19.74655000
2.09966395,94.94955000,-59.23966000
2.19964795,27.68209000,-71.08144000
2.29963195,-43.50701000,-11.84178000
2.39961594,-19.77731000,3.93700800
2.49959994,3.95238700,-102.68520000
2.59958394,71.20448000,-11.84178000
2.69956794,43.50701000,-63.19205000
2.79955193,59.33194000,-63.19205000
2.89953593,43.50701000,-55.28728000
2.99951993,71.20448000,-47.38250000
3.09950393,63.29971000,-47.38250000
3.19948792,174.07420000,-23.68356000
3.29947192,130.55180000,-39.49311000
3.39945592,59.33194000,-63.19205000
3.49943992,47.47478000,19.74655000
3.59942392,79.12463000,0.00000000
3.69940791,106.82210000,15.79417000
3.79939191,59.33194000,19.74655000
3.89937591,71.20448000,-90.82800000
3.99935991,19.77731000,-19.74655000
4.09934390,31.64985000,-3.93700800
4.19932790,67.25209000,27.63595000
4.29931190,39.55462000,-35.54072000
4.39929590,23.72970000,-94.78038000
4.49927989,39.55462000,31.58834000
4.59926389,90.99716000,47.38250000
4.69924789,47.47478000,3.93700800
4.79923189,-31.64985000,11.84178000
4.89921588,-27.68209000,39.49311000
4.99919988,-51.42716000,67.12906000
5.09918388,11.85716000,71.08144000
5.19916788,-19.77731000,75.03383000
5.29915188,-3.95238700,157.97240000
5.39913587,-11.85716000,126.38410000
5.49911987,-75.17224000,122.43170000
5.59910387,-51.42716000,118.47930000
5.69908787,-23.72970000,126.38410000
5.79907186,-79.12463000,134.27350000
5.89905586,-31.64985000,126.38410000
5.99903986,-39.55462000,142.17830000
6.09902386,-122.64700000,78.98621000
6.19900785,-94.94955000,47.38250000
6.29899185,-178.02660000,126.38410000
6.39897585,-106.82210000,173.78200000
6.49895985,-174.07420000,138.22590000
6.59894384,-154.29690000,110.57460000
6.69892784,-83.07702000,23.68356000
6.79891184,-87.02940000,55.28728000
6.89889584,-126.59940000,150.08300000
6.99887984,-79.12463000,106.63750000
7.09886383,-83.07702000,-3.93700800
7.19884783,-126.59940000,-15.79417000
7.29883183,-142.42430000,-15.79417000
7.39881583,-114.72690000,47.38250000
7.49879982,-31.64985000,-35.54072000
7.59878382,-126.59940000,-19.74655000
7.69876782,-114.72690000,3.93700800
7.79875182,-11.85716000,-157.97240000
7.89873581,-63.29971000,-110.57460000
7.99871981,19.77731000,-82.93860000
8.09870381,79.12463000,-67.12906000
8.19868781,7.90477300,-11.84178000
8.29867180,23.72970000,-19.74655000
8.39865580,0.00000000,-106.63750000
8.49863980,-27.68209000,-122.43170000
8.59862380,43.50701000,-126.38410000
8.69860779,35.60224000,-177.71900000
8.79859179,31.64985000,-181.67140000
8.89857579,83.07702000,-300.16610000
8.99855979,67.25209000,-177.71900000
9.09854379,79.12463000,-130.33650000
9.19852778,150.34450000,-150.08300000
9.29851178,130.55180000,-185.62370000
9.39849578,106.82210000,-47.38250000
9.49847978,75.17224000,-154.02010000
9.59846377,138.47190000,-118.47930000
9.69844777,138.47190000,-110.57460000
9.79843177,94.94955000,-35.54072000
9.89841577,166.16940000,-154.02010000
9.99839976,90.99716000,-63.19205000
10.09838376,166.16940000,-11.84178000
10.19836776,106.82210000,-11.84178000
10.29835176,138.47190000,-3.93700800
10.39833575,94.94955000,63.19205000
10.49831975,98.90194000,-19.74655000
10.59830375,106.82210000,90.82800000
10.69828775,146.37670000,-39.49311000
10.79827175,59.33194000,-23.68356000
10.89825574,63.29971000,-11.84178000
10.99823974,11.85716000,0.00000000
11.09822374,55.37955000,31.58834000
11.19820774,23.72970000,-7.88939400
11.29819173,47.47478000,43.44550000
11.39817573,-31.64985000,157.97240000
11.49815973,3.95238700,130.33650000
11.59814373,3.95238700,118.47930000
11.69812772,-23.72970000,146.13070000
11.79811172,-39.55462000,114.52690000
11.89809572,-63.29971000,150.08300000
11.99807972,-7.90477300,78.98621000
12.09806371,-15.82493000,94.78038000
12.19804771,-134.51950000,110.57460000
12.29803171,-39.55462000,59.23966000
12.39801571,-59.33194000,157.97240000
12.49799971,-87.02940000,142.17830000
12.59798370,-67.25209000,47.38250000
12.69796770,-138.47190000,75.03383000
12.79795170,-106.82210000,75.03383000
12.89793570,-79.12463000,55.28728000
12.99791969,-63.29971000,71.08144000
13.09790369,-43.50701000,15.79417000
13.19788769,-90.99716000,98.73277000
13.29787169,-59.33194000,47.38250000
13.39785568,-158.24930000,90.82800000
13.49783968,-106.82210000,78.98621000
13.59782368,-43.50701000,-35.54072000
13.69780768,-43.50701000,-31.58834000
13.79779167,-110.77450000,-7.88939400
13.89777567,-31.64985000,-63.19205000
13.99775967,-51.42716000,86.89099000
14.09774367,-51.42716000,-71.08144000
14.19772767,-79.12463000,31.58834000
14.29771166,15.82493000,-55.28728000
14.39769566,-39.55462000,3.93700800
14.49767966,0.00000000,-19.74655000
14.59766366,-55.37955000,-11.84178000
14.69764765,15.82493000,-3.93700800
14.79763165,-15.82493000,19.74655000
14.89761565,94.94955000,-59.23966000
14.99759965,-7.90477300,-55.28728000
15.09758364,39.55462000,-39.49311000
15.19756764,-11.85716000,47.38250000
15.29755164,7.90477300,0.00000000
15.39753564,11.85716000,94.78038000
15.49751963,-47.47478000,47.38250000
15.59750363,-67.25209000,0.00000000
15.69748763,-47.47478000,-43.44550000
15.79747163,35.60224000,19.74655000
15.89745563,39.55462000,86.89099000
15.99743962,19.77731000,19.74655000
16.09742362,67.25209000,-63.19205000
