Tempo,Canale A,Canale B
(ms),(mV),(mV)

0.00000000,75.17224000,27.63595000
0.09998400,67.25209000,67.12906000
0.19996800,94.94955000,-11.84178000
0.29995199,11.85716000,47.38250000
0.39993599,0.00000000,19.74655000
0.49991999,-15.82493000,51.33489000
0.59990399,35.60224000,0.00000000
0.69988798,-27.68209000,102.68520000
0.79987198,-19.77731000,110.57460000
0.89985598,-55.37955000,67.12906000
0.99983998,-51.42716000,-15.79417000
1.09982397,19.77731000,75.03383000
1.19980797,-15.82493000,118.47930000
1.29979197,-15.82493000,59.23966000
1.39977597,-142.42430000,98.73277000
1.49975996,-67.25209000,82.93860000
1.59974396,-35.60224000,31.58834000
1.69972796,-106.82210000,47.38250000
1.79971196,-39.55462000,102.68520000
1.89969596,-75.17224000,35.54072000
1.99967995,-87.02940000,59.23966000
2.09966395,-79.12463000,35.54072000
2.19964795,-51.42716000,106.63750000
2.29963195,-19.77731000,55.28728000
2.39961594,35.60224000,-23.68356000
2.49959994,-75.17224000,-15.79417000
2.59958394,-51.42716000,-51.33489000
2.69956794,-90.99716000,-31.58834000
2.79955193,-71.20448000,78.98621000
2.89953593,11.85716000,19.74655000
2.99951993,-43.50701000,35.54072000
3.09950393,-39.55462000,-51.33489000
3.19948792,-27.68209000,-51.33489000
3.29947192,-55.37955000,11.84178000
3.39945592,-94.94955000,-11.84178000
3.49943992,-98.90194000,47.38250000
3.59942392,0.00000000,-39.49311000
3.69940791,-39.55462000,-118.47930000
3.79939191,-23.72970000,-146.13070000
3.89937591,-35.60224000,-98.73277000
3.99935991,-19.77731000,15.79417000
4.09934390,-67.25209000,-75.03383000
4.19932790,-39.55462000,-71.08144000
4.29931190,-31.64985000,-71.08144000
4.39929590,0.00000000,-86.89099000
4.49927989,-15.82493000,-90.82800000
4.59926389,15.82493000,-94.78038000
4.69924789,75.17224000,-51.33489000
4.79923189,51.42716000,-78.98621000
4.89921588,39.55462000,-122.43170000
4.99919988,35.60224000,-55.28728000
5.09918388,118.67920000,-75.03383000
5.19916788,71.20448000,-19.74655000
5.29915188,11.85716000,11.84178000
5.39913587,23.72970000,-43.44550000
5.49911987,114.72690000,-23.68356000
5.59910387,7.90477300,3.93700800
5.69908787,47.47478000,15.79417000
5.79907186,75.17224000,11.84178000
5.89905586,102.85430000,-19.74655000
5.99903986,90.99716000,39.49311000
6.09902386,31.64985000,-27.63595000
6.19900785,75.17224000,-3.93700800
6.29899185,55.37955000,39.49311000
6.39897585,43.50701000,-39.49311000
6.49895985,35.60224000,-3.93700800
6.59894384,79.12463000,-59.23966000
6.69892784,79.12463000,-63.19205000
6.79891184,90.99716000,-31.58834000
6.89889584,174.07420000,-19.74655000
6.99887984,158.24930000,-90.82800000
7.09886383,158.24930000,-47.38250000
7.19884783,130.55180000,-106.63750000
7.29883183,55.37955000,55.28728000
7.39881583,39.55462000,-11.84178000
7.49879982,106.82210000,-43.44550000
7.59878382,87.02940000,-39.49311000
7.69876782,98.90194000,-63.19205000
7.79875182,106.82210000,3.93700800
7.89873581,94.94955000,47.38250000
7.99871981,83.07702000,-23.68356000
8.09870381,142.42430000,90.82800000
8.19868781,55.37955000,3.93700800
8.29867180,83.07702000,19.74655000
8.39865580,55.37955000,-27.63595000
8.49863980,63.29971000,90.82800000
8.59862380,43.50701000,7.88939400
8.69860779,27.68209000,114.52690000
8.79859179,102.85430000,35.54072000
8.89857579,23.72970000,35.54072000
8.99855979,-11.85716000,67.12906000
9.09854379,27.68209000,43.44550000
9.19852778,11.85716000,110.57460000
9.29851178,31.64985000,114.52690000
9.39849578,11.85716000,82.93860000
9.49847978,-47.47478000,71.08144000
9.59846377,43.50701000,110.57460000
9.69844777,15.82493000,67.12906000
9.79843177,-79.12463000,55.28728000
9.89841577,-47.47478000,47.38250000
9.99839976,-94.94955000,78.98621000
10.09838376,-51.42716000,59.23966000
10.19836776,-11.85716000,118.47930000
10.29835176,-11.85716000,134.27350000
10.39833575,-67.25209000,71.08144000
10.49831975,-71.20448000,130.33650000
10.59830375,-75.17224000,122.43170000
10.69828775,-87.02940000,118.47930000
10.79827175,-106.82210000,181.67140000
10.89825574,-71.20448000,90.82800000
10.99823974,-110.77450000,110.57460000
11.09822374,-98.90194000,90.82800000
11.19820774,-130.55180000,19.74655000
11.29819173,-87.02940000,82.93860000
11.39817573,-75.17224000,75.03383000
11.49815973,-83.07702000,55.28728000
11.59814373,-118.67920000,94.78038000
11.69812772,-43.50701000,55.28728000
11.79811172,-35.60224000,78.98621000
11.89809572,-83.07702000,7.88939400
11.99807972,-71.20448000,-11.84178000
12.09806371,-31.64985000,63.19205000
12.19804771,-35.60224000,19.74655000
12.29803171,-43.50701000,-59.23966000
12.39801571,-90.99716000,-71.08144000
12.49799971,-71.20448000,19.74655000
12.59798370,0.00000000,-98.73277000
12.69796770,-87.02940000,3.93700800
12.79795170,-7.90477300,-63.19205000
12.89793570,-19.77731000,-75.03383000
12.99791969,-7.90477300,-78.98621000
13.09790369,-47.47478000,-110.57460000
13.19788769,-27.68209000,-39.49311000
13.29787169,-71.20448000,3.93700800
13.39785568,3.95238700,-23.68356000
13.49783968,-7.90477300,-63.19205000
13.59782368,51.42716000,-78.98621000
13.69780768,59.33194000,-27.63595000
13.79779167,11.85716000,-78.98621000
13.89777567,19.77731000,35.54072000
13.99775967,51.42716000,0.00000000
14.09774367,71.20448000,-43.44550000
14.19772767,11.85716000,3.93700800
14.29771166,15.82493000,-15.79417000
14.39769566,19.77731000,51.33489000
14.49767966,23.72970000,15.79417000
14.59766366,31.64985000,-31.58834000
14.69764765,-47.47478000,-7.88939400
14.79763165,23.72970000,19.74655000
14.89761565,-51.42716000,63.19205000
14.99759965,31.64985000,47.38250000
15.09758364,3.95238700,67.12906000
15.19756764,-79.12463000,7.88939400
15.29755164,-11.85716000,-27.63595000
15.39753564,-90.99716000,-3.93700800
15.49751963,-27.68209000,43.44550000
15.59750363,15.82493000,39.49311000
15.69748763,-98.90194000,51.33489000
15.79747163,-79.12463000,-31.58834000
15.89745563,-39.55462000,-59.23966000
15.99743962,-98.90194000,86.89099000
16.09742362,-39.55462000,102.68520000
